index,Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles,Year,Month,Day,Location,Region,Is_northeast,Is_midwest,Is_territory,Is_south,Is_west,EV_Density,Days_Since_First_Record,Quarter,County_EV_Mean,State_EV_Mean,Vehicle_Size_Bin,EV_Percent_Bin,BEV_in_West,Winter_EV,EV_Growth_Rate,Market_Growth_Rate,EV_Z_Score,BEV_Percentage,PHEV_Percentage,EV_to_NonEV_Ratio,Dominant_EV_Type,West_BEV
55,2020-08-31,Boulder,CO,Passenger,1,1,2,48,50,4.0,2020,8,31,"Boulder, CO",West,0,0,0,0,1,0.04,1308,3,3.934420253061779,3.937185577855679,Tiny,High,1,0,,,-0.044329173720628855,2.0,2.0,0.041666666666666664,Equal,0
56,2023-04-30,Kauai,HI,Passenger,1,1,2,21,23,8.695652173913043,2023,4,30,"Kauai, HI",West,0,0,0,0,1,0.08695652173913043,2280,2,4.979560612283724,2.9401021116927435,Tiny,Very High,1,0,,,0.4005122485736066,4.35,4.35,0.09523809523809523,Equal,0
57,2020-02-29,King,WA,Passenger,23423,7635,31058,1399125,1430183,2.1716102065260174,2020,2,29,"King, WA",West,0,0,0,0,1,0.02171610206526018,1124,1,1.6152032027595458,0.49610926478863887,Large,High,23423,31058,,,-0.21754121884522412,1.64,0.53,0.022198159564013224,BEV,1
58,2019-05-31,Grays Harbor,WA,Truck,0,0,0,20451,20451,0.0,2019,5,31,"Grays Harbor, WA",West,0,0,0,0,1,0.0,850,2,0.3829308137859151,0.49610926478863887,Large,,0,0,-1.0,-0.5693710387231266,-0.4232681630823851,0.0,0.0,0.0,Equal,0
59,2018-03-31,Maricopa,AZ,Passenger,1,2,3,1676,1679,0.1786777843954734,2018,3,31,"Maricopa, AZ",West,0,0,0,0,1,0.001786777843954735,424,1,1.1850310964874662,1.4165223049062798,Medium,Low,1,0,,,-0.4063411683223304,0.06,0.12,0.0017899761336515514,PHEV,0
60,2019-03-31,Nassau,NY,Passenger,3,0,3,42,45,6.666666666666666,2019,3,31,"Nassau, NY",Northeast,1,0,0,0,0,0.06666666666666667,789,1,7.384275784997647,6.750273862944342,Tiny,Very High,,0,,,0.20829681918720855,6.67,0.0,0.07142857142857142,BEV,0
61,2019-07-31,Frederick,MD,Passenger,1,1,2,77,79,2.531645569620253,2019,7,31,"Frederick, MD",South,0,0,0,1,0,0.02531645569620253,911,3,2.864985008110487,2.4788927006453108,Tiny,High,,0,,,-0.1834333596888685,1.27,1.27,0.025974025974025976,Equal,0
62,2023-12-31,Hillsborough,FL,Passenger,3,0,3,119,122,2.459016393442623,2023,12,31,"Hillsborough, FL",South,0,0,0,1,0,0.02459016393442623,2525,4,1.782606416718469,3.039365731673768,Small,High,,3,,,-0.1903138663436005,2.46,0.0,0.025210084033613446,BEV,0
63,2022-02-28,Sumter,SC,Passenger,0,1,1,30,31,3.225806451612903,2022,2,28,"Sumter, SC",South,0,0,0,1,0,0.03225806451612903,1854,1,8.476577186254605,3.044068324394799,Tiny,High,,1,,,-0.11767220391967846,0.0,3.23,0.03333333333333333,PHEV,0
64,2024-09-30,Nassau,NY,Passenger,2,0,2,15,17,11.76470588235294,2024,9,30,"Nassau, NY",Northeast,1,0,0,0,0,0.11764705882352941,2799,3,7.384275784997647,6.750273862944342,Tiny,Very High,,0,-0.33333333333333337,-0.6222222222222222,0.6912582762168977,11.76,0.0,0.13333333333333333,BEV,0
